TagNameGroup,TagName,TagType,Writable,G0,G1,G2
APP5,ShowCenterTemp,int8u,false,APP5,InfiRay,Image
APP5,ShowMaxTemp,int8u,false,APP5,InfiRay,Image
APP5,ShowMinTemp,int8u,false,APP5,InfiRay,Image
APP5,TempMeasureCount,int16u,false,APP5,InfiRay,Image
APP5,ThermalCalibration,?,false,APP5,DJI,Image
APP5,Azimuth,?,false,APP5,RMETA,Image
APP5,Condition,?,false,APP5,RMETA,Image
APP5,Lit,?,false,APP5,RMETA,Image
APP5,Location,?,false,APP5,RMETA,Image
APP5,SignType,?,false,APP5,RMETA,Image
APP5,SoundFile,?,false,APP5,RMETA,Image
APP5,Barcodes,?,false,APP5,RMETA,Image
APP6,MixMode,int8u,false,APP6,InfiRay,Image
APP6,FusionIntensity,float,false,APP6,InfiRay,Image
APP6,OffsetAdjustment,float,false,APP6,InfiRay,Image
APP6,CorrectionAsix,float,false,APP6,InfiRay,Image
APP6,DJI_DTAT,?,false,APP6,DJI,Other
APP6,NITFVersion,int8u,false,APP6,NITF,Image
APP6,ImageFormat,int8u,false,APP6,NITF,Image
APP6,BlocksPerRow,int16u,false,APP6,NITF,Image
APP6,BlocksPerColumn,int16u,false,APP6,NITF,Image
APP6,ImageColor,int8u,false,APP6,NITF,Image
APP6,BitDepth,int8u,false,APP6,NITF,Image
APP6,ImageClass,int8u,false,APP6,NITF,Image
APP6,JPEGProcess,int8u,false,APP6,NITF,Image
APP6,Quality,int8u,false,APP6,NITF,Image
APP6,StreamColor,int8u,false,APP6,NITF,Image
APP6,StreamBitDepth,int8u,false,APP6,NITF,Image
APP6,Flags,int32u,false,APP6,NITF,Image
APP7,WorkingMode,int8u,false,APP7,InfiRay,Image
APP7,IntegralTime,int32u,false,APP7,InfiRay,Image
APP7,IntegratTimeHdr,int32u,false,APP7,InfiRay,Image
APP7,GainStable,int8u,false,APP7,InfiRay,Image
APP7,TempControlEnable,int8u,false,APP7,InfiRay,Image
APP7,DeviceTemp,float,false,APP7,InfiRay,Image
APP8,IsothermalMax,float,false,APP8,InfiRay,Image
APP8,IsothermalMin,float,false,APP8,InfiRay,Image
APP8,ChromaBarMax,float,false,APP8,InfiRay,Image
APP8,ChromaBarMin,float,false,APP8,InfiRay,Image
APP8,SPIFFVersion,int8u,false,APP8,SPIFF,Image
APP8,ProfileID,int8u,false,APP8,SPIFF,Image
APP8,ColorComponents,int8u,false,APP8,SPIFF,Image
APP8,ImageHeight,int32u,false,APP8,SPIFF,Image
APP8,ImageWidth,int32u,false,APP8,SPIFF,Image
APP8,ColorSpace,int8u,false,APP8,SPIFF,Image
APP8,BitsPerSample,int8u,false,APP8,SPIFF,Image
APP8,Compression,int8u,false,APP8,SPIFF,Image
APP8,ResolutionUnit,int8u,false,APP8,SPIFF,Image
APP8,YResolution,int32u,false,APP8,SPIFF,Image
APP8,XResolution,int32u,false,APP8,SPIFF,Image
APP9,IRSensorManufacturer,string,false,APP9,InfiRay,Image
APP9,IRSensorName,string,false,APP9,InfiRay,Image
APP9,IRSensorPartNumber,string,false,APP9,InfiRay,Image
APP9,IRSensorSerialNumber,string,false,APP9,InfiRay,Image
APP9,IRSensorFirmware,string,false,APP9,InfiRay,Image
APP9,IRSensorAperture,float,false,APP9,InfiRay,Image
APP9,IRFocalLength,float,false,APP9,InfiRay,Image
APP9,VisibleSensorManufacturer,string,false,APP9,InfiRay,Image
APP9,VisibleSensorName,string,false,APP9,InfiRay,Image
APP9,VisibleSensorPartNumber,string,false,APP9,InfiRay,Image
APP9,VisibleSensorSerialNumber,string,false,APP9,InfiRay,Image
APP9,VisibleSensorFirmware,string,false,APP9,InfiRay,Image
APP9,VisibleSensorAperture,float,false,APP9,InfiRay,Image
APP9,VisibleFocalLength,float,false,APP9,InfiRay,Image
ASF,AudioCodecDescription,?,false,ASF,ASF,Other
ASF,AudioCodecName,?,false,ASF,ASF,Other
ASF,OtherCodecDescription,?,false,ASF,ASF,Other
ASF,OtherCodecName,?,false,ASF,ASF,Other
ASF,VideoCodecDescription,?,false,ASF,ASF,Other
ASF,VideoCodecName,?,false,ASF,ASF,Other
ASF,BannerImageType,?,false,ASF,ASF,Author
ASF,BannerImage,?,false,ASF,ASF,Preview
ASF,BannerImageURL,?,false,ASF,ASF,Preview
ASF,CopyrightURL,?,false,ASF,ASF,Preview
ASF,Title,?,false,ASF,ASF,Video
ASF,Author,?,false,ASF,ASF,Author
ASF,Copyright,?,false,ASF,ASF,Author
ASF,Description,?,false,ASF,ASF,Author
ASF,Rating,?,false,ASF,ASF,Author
ASF,ASFLeakyBucketPairs,?,false,ASF,ASF,Video
ASF,ASFPacketCount,?,false,ASF,ASF,Video
ASF,ASFSecurityObjectsSize,?,false,ASF,ASF,Video
ASF,AlbumArtist,?,false,ASF,ASF,Video
ASF,AlbumCoverURL,?,false,ASF,ASF,Video
ASF,AlbumTitle,?,false,ASF,ASF,Video
ASF,AspectRatioX,?,false,ASF,ASF,Video
ASF,AspectRatioY,?,false,ASF,ASF,Video
ASF,AudioFileURL,?,false,ASF,ASF,Video
ASF,AudioSourceURL,?,false,ASF,ASF,Video
ASF,Author,?,false,ASF,ASF,Author
ASF,AuthorURL,?,false,ASF,ASF,Author
ASF,AverageLevel,?,false,ASF,ASF,Author
ASF,BannerImageData,?,false,ASF,ASF,Author
ASF,BannerImageType,?,false,ASF,ASF,Author
ASF,BannerImageURL,?,false,ASF,ASF,Author
ASF,BeatsPerMinute,?,false,ASF,ASF,Author
ASF,Bitrate,?,false,ASF,ASF,Author
ASF,Broadcast,?,false,ASF,ASF,Author
ASF,BufferAverage,?,false,ASF,ASF,Author
ASF,Can_Skip_Backward,?,false,ASF,ASF,Author
ASF,Can_Skip_Forward,?,false,ASF,ASF,Author
ASF,Category,?,false,ASF,ASF,Author
ASF,Codec,?,false,ASF,ASF,Author
ASF,Composer,?,false,ASF,ASF,Author
ASF,Conductor,?,false,ASF,ASF,Author
ASF,ContainerFormat,?,false,ASF,ASF,Author
ASF,ContentDistributor,?,false,ASF,ASF,Author
ASF,ContentGroupDescription,?,false,ASF,ASF,Author
ASF,Copyright,?,false,ASF,ASF,Author
ASF,CopyrightURL,?,false,ASF,ASF,Author
ASF,CurrentBitrate,?,false,ASF,ASF,Author
ASF,DRM,?,false,ASF,ASF,Author
ASF,DRM_ContentID,?,false,ASF,ASF,Author
